kanji	kanji_meaning	kanji_readings	kanji_strokes	component	component_meaning
一	one	イチ、イツ、ひと、ひとつ	1.0	一	one
丁	ward	チョウ、テイ	2.0	一	one
丁	ward	チョウ、テイ	2.0	亅	hook
七	seven	シチ、なな、ななつ、なの	2.0	乙	second
七	seven	シチ、なな、ななつ、なの	2.0	匕	spoon
七	seven	シチ、なな、ななつ、なの	2.0	ノ	
万	ten thousand	マン、バン	3.0	｜	
万	ten thousand	マン、バン	3.0	ノ	
万	ten thousand	マン、バン	3.0	一	one
丈	length	ジョウ、たけ	3.0	ノ	
丈	length	ジョウ、たけ	3.0	一	one
丈	length	ジョウ、たけ	3.0	丶	dot
三	three	サン、み、みつ、みっつ	3.0	一	one
三	three	サン、み、みつ、みっつ	3.0	二	two
上	up	ジョウ、ショウ、うえ、うわ、かみ、あげる、あがる、のぼる、のぼせる、のぼす	3.0	一	one
上	up	ジョウ、ショウ、うえ、うわ、かみ、あげる、あがる、のぼる、のぼせる、のぼす	3.0	卜	divination
下	below	カ、ゲ、した、しも、もと、さげる、さがる、くだる、くだす、くださる、おろす、おりる	3.0	｜	
下	below	カ、ゲ、した、しも、もと、さげる、さがる、くだる、くだす、くださる、おろす、おりる	3.0	一	one
下	below	カ、ゲ、した、しも、もと、さげる、さがる、くだる、くだす、くださる、おろす、おりる	3.0	卜	divination
不	non-	フ、ブ	4.0	｜	
不	non-	フ、ブ	4.0	ノ	
不	non-	フ、ブ	4.0	一	one
不	non-	フ、ブ	4.0	丶	dot
与	give	ヨ、あたえる	3.0	勹	wrap
与	give	ヨ、あたえる	3.0	一	one
与	give	ヨ、あたえる	3.0	卜	divination
且	moreover	かつ	5.0	一	one
且	moreover	かつ	5.0	目	eye
世	world	セイ、セ、よ	5.0	｜	
世	world	セイ、セ、よ	5.0	一	one
世	world	セイ、セ、よ	5.0	世	world
丘	hill	キュウ、おか	5.0	一	one
丘	hill	キュウ、おか	5.0	斤	axe
丙	third class	ヘイ	5.0	一	one
丙	third class	ヘイ	5.0	人	man
丙	third class	ヘイ	5.0	冂	wide
両	both	リョウ	6.0	｜	
両	both	リョウ	6.0	一	one
両	both	リョウ	6.0	冂	wide
両	both	リョウ	6.0	山	mountain
並	line-up	ヘイ、なみ、ならべる、ならぶ、ならびに	8.0	｜	
並	line-up	ヘイ、なみ、ならべる、ならぶ、ならびに	8.0	一	one
並	line-up	ヘイ、なみ、ならべる、ならぶ、ならびに	8.0	二	two
並	line-up	ヘイ、なみ、ならべる、ならぶ、ならびに	8.0	并	
中	middle	チュウ、ジュウ、なか	4.0	｜	
中	middle	チュウ、ジュウ、なか	4.0	口	mouth
串	skewer	くし	7.0	｜	
串	skewer	くし	7.0	口	mouth
丸	circle	ガン、まる、まるい、まるめる	3.0	九	nine
丸	circle	ガン、まる、まるい、まるめる	3.0	丶	dot
丹	cinnabar	タン	4.0	ノ	
丹	cinnabar	タン	4.0	一	one
丹	cinnabar	タン	4.0	丶	dot
丹	cinnabar	タン	4.0	亅	hook
主	master	シュ、ス、ぬし、おも	5.0	王	jade
主	master	シュ、ス、ぬし、おも	5.0	丶	dot
丼	bowl of food	どんぶり、どん	5.0	｜	
丼	bowl of food	どんぶり、どん	5.0	ノ	
丼	bowl of food	どんぶり、どん	5.0	二	two
丼	bowl of food	どんぶり、どん	5.0	丶	dot
丼	bowl of food	どんぶり、どん	5.0	廾	arch
丼	bowl of food	どんぶり、どん	5.0	井	well
久	long time	キュウ、ク、ひさしい	3.0	ノ	
久	long time	キュウ、ク、ひさしい	3.0	入	enter
久	long time	キュウ、ク、ひさしい	3.0	久	long time
乏	scarce	ボウ、とぼしい	4.0	ノ	
乏	scarce	ボウ、とぼしい	4.0	乙	second
乏	scarce	ボウ、とぼしい	4.0	丶	dot
乏	scarce	ボウ、とぼしい	4.0	亠	lid
乗	ride	ジョウ、のる、のせる	9.0	｜	
乗	ride	ジョウ、のる、のせる	9.0	ノ	
乗	ride	ジョウ、のる、のせる	9.0	一	one
乗	ride	ジョウ、のる、のせる	9.0	禾	grain
乗	ride	ジョウ、のる、のせる	9.0	ハ	
乙	the latter	オツ	1.0	乙	second
九	nine	キュウ、ク、ここの、ここのつ	2.0	九	nine
乞	beg	こう	3.0	ノ	
乞	beg	こう	3.0	一	one
乞	beg	こう	3.0	乙	second
乱	riot	ラン、みだれる、みだす	7.0	乙	second
乱	riot	ラン、みだれる、みだす	7.0	口	mouth
乱	riot	ラン、みだれる、みだす	7.0	舌	tongue
乳	milk	ニュウ、ちち、ち	8.0	乙	second
乳	milk	ニュウ、ちち、ち	8.0	子	child
乳	milk	ニュウ、ちち、ち	8.0	爪	claw
乾	dry	カン、かわく、かわかす	11.0	乙	second
乾	dry	カン、かわく、かわかす	11.0	十	ten
乾	dry	カン、かわく、かわかす	11.0	日	sun
亀	turtle	キ、かめ	11.0	亀	turtle
亀	turtle	キ、かめ	11.0	田	field
亀	turtle	キ、かめ	11.0	勹	wrap
亀	turtle	キ、かめ	11.0	乙	second
了	finish	リョウ	2.0	一	one
了	finish	リョウ	2.0	亅	hook
予	in advance	ヨ	4.0	マ	
予	in advance	ヨ	4.0	一	one
予	in advance	ヨ	4.0	亅	hook
争	conflict	ソウ、あらそう	6.0	ヨ	
争	conflict	ソウ、あらそう	6.0	一	one
争	conflict	ソウ、あらそう	6.0	亅	hook
争	conflict	ソウ、あらそう	6.0	勹	wrap
事	abstract thing	ジ、ズ、こと	8.0	一	one
事	abstract thing	ジ、ズ、こと	8.0	口	mouth
事	abstract thing	ジ、ズ、こと	8.0	亅	hook
事	abstract thing	ジ、ズ、こと	8.0	ヨ	
二	two	ニ、ふた、ふたつ	2.0	二	two
互	mutually	ゴ、たがい	4.0	ヨ	
互	mutually	ゴ、たがい	4.0	一	one
互	mutually	ゴ、たがい	4.0	彑	snout
五	five	ゴ、いつ、いつつ	4.0	一	one
五	five	ゴ、いつ、いつつ	4.0	二	two
五	five	ゴ、いつ、いつつ	4.0	五	five
井	well	セイ、ショウ、い	4.0	｜	
井	well	セイ、ショウ、い	4.0	ノ	
井	well	セイ、ショウ、い	4.0	一	one
井	well	セイ、ショウ、い	4.0	二	two
井	well	セイ、ショウ、い	4.0	井	well
亜	sub-, Asia	ア	7.0	｜	
亜	sub-, Asia	ア	7.0	一	one
亜	sub-, Asia	ア	7.0	口	mouth
亡	deceased	ボウ、モウ、ない	3.0	亡	deceased
亡	deceased	ボウ、モウ、ない	3.0	亠	lid
交	mix	コウ、まじわる、まじえる、まじる、まざる、まぜる、かう、かわす	6.0	父	father
交	mix	コウ、まじわる、まじえる、まじる、まざる、まぜる、かう、かわす	6.0	亠	lid
享	receive	キョウ	8.0	口	mouth
享	receive	キョウ	8.0	子	child
享	receive	キョウ	8.0	亠	lid
京	capital	キョウ、ケイ	8.0	口	mouth
京	capital	キョウ、ケイ	8.0	小	small
京	capital	キョウ、ケイ	8.0	亠	lid
亭	pavilion	テイ	9.0	口	mouth
亭	pavilion	テイ	9.0	亅	hook
亭	pavilion	テイ	9.0	亠	lid
亭	pavilion	テイ	9.0	冖	cloth cover
人	person	ジン、ニン、ひと	2.0	人	man
仁	humanity	ジン、ニ	4.0	⺅	
仁	humanity	ジン、ニ	4.0	二	two
今	now	コン、キン、いま	4.0	𠆢	
今	now	コン、キン、いま	4.0	一	one
介	jammed in	カイ	4.0	ハ	
介	jammed in	カイ	4.0	𠆢	
仏	Buddha	ブツ、ほとけ	4.0	⺅	
仏	Buddha	ブツ、ほとけ	4.0	厶	private
仕	do	シ、ジ、つかえる	5.0	⺅	
仕	do	シ、ジ、つかえる	5.0	士	scholar
他	other	タ、ほか	5.0	⺅	
他	other	タ、ほか	5.0	也	
付	attach	フ、つける、つく	5.0	⺅	
付	attach	フ、つける、つく	5.0	寸	inch
仙	hermit	セン	5.0	⺅	
仙	hermit	セン	5.0	山	mountain
代	substitute	ダイ、タイ、かわる、かえる、よ、しろ	5.0	⺅	
代	substitute	ダイ、タイ、かわる、かえる、よ、しろ	5.0	弋	shoot
令	orders	レイ	5.0	𠆢	
令	orders	レイ	5.0	卩	seal (device)
令	orders	レイ	5.0	一	one
以	by means of	イ	5.0	｜	
以	by means of	イ	5.0	人	man
以	by means of	イ	5.0	丶	dot
仮	temporary	カ、ケ、かり	6.0	⺅	
仮	temporary	カ、ケ、かり	6.0	又	again
仮	temporary	カ、ケ、かり	6.0	厂	cliff
仰	face-up	ギョウ、コウ、あおぐ、おおせ	6.0	⺅	
仰	face-up	ギョウ、コウ、あおぐ、おおせ	6.0	卩	seal (device)
仲	relationship	チュウ、なか	6.0	｜	
仲	relationship	チュウ、なか	6.0	⺅	
仲	relationship	チュウ、なか	6.0	口	mouth
件	affair	ケン	6.0	⺅	
件	affair	ケン	6.0	牛	cow
任	responsibility	ニン、まかせる、まかす	6.0	ノ	
任	responsibility	ニン、まかせる、まかす	6.0	王	jade
任	responsibility	ニン、まかせる、まかす	6.0	⺅	
任	responsibility	ニン、まかせる、まかす	6.0	士	scholar
企	plan	キ、くわだてる	6.0	止	stop
企	plan	キ、くわだてる	6.0	𠆢	
伎	deed	キ	6.0	⺅	
伎	deed	キ	6.0	支	branch
伎	deed	キ	6.0	又	again
伎	deed	キ	6.0	十	ten
伏	prostrated	フク、ふせる、ふす	6.0	⺅	
伏	prostrated	フク、ふせる、ふす	6.0	犬	dog
伐	fell	バツ	6.0	⺅	
伐	fell	バツ	6.0	戈	halberd
休	rest	キュウ、やすむ、やすまる、やすめる	6.0	⺅	
休	rest	キュウ、やすむ、やすまる、やすめる	6.0	木	tree
会	association	カイ、エ、あう	6.0	二	two
会	association	カイ、エ、あう	6.0	𠆢	
会	association	カイ、エ、あう	6.0	厶	private
伝	transmit	デン、つたわる、つたえる、つたう	6.0	⺅	
伝	transmit	デン、つたわる、つたえる、つたう	6.0	二	two
伝	transmit	デン、つたわる、つたえる、つたう	6.0	厶	private
伯	chief	ハク	7.0	⺅	
伯	chief	ハク	7.0	白	white
伴	consort	ハン、バン、ともなう	7.0	｜	
伴	consort	ハン、バン、ともなう	7.0	⺅	
伴	consort	ハン、バン、ともなう	7.0	二	two
伴	consort	ハン、バン、ともなう	7.0	并	
伴	consort	ハン、バン、ともなう	7.0	十	ten
伸	lengthen	シン、のびる、のばす、のべる	7.0	｜	
伸	lengthen	シン、のびる、のばす、のべる	7.0	⺅	
伸	lengthen	シン、のびる、のばす、のべる	7.0	日	sun
伸	lengthen	シン、のびる、のばす、のべる	7.0	田	field
伺	pay respects	シ、うかがう	7.0	⺅	
伺	pay respects	シ、うかがう	7.0	口	mouth
伺	pay respects	シ、うかがう	7.0	亅	hook
伺	pay respects	シ、うかがう	7.0	一	one
似	becoming	ジ、にる	7.0	⺅	
似	becoming	ジ、にる	7.0	人	man
似	becoming	ジ、にる	7.0	丶	dot
但	however	ただし	7.0	一	one
但	however	ただし	7.0	⺅	
但	however	ただし	7.0	日	sun
位	rank	イ、くらい	7.0	⺅	
位	rank	イ、くらい	7.0	立	stand
低	low	テイ、ひくい、ひくめる、ひくまる	7.0	⺅	
低	low	テイ、ひくい、ひくめる、ひくまる	7.0	氏	clan
住	dwelling	ジュウ、すむ、すまう	7.0	王	jade
住	dwelling	ジュウ、すむ、すまう	7.0	⺅	
住	dwelling	ジュウ、すむ、すまう	7.0	丶	dot
佐	help	サ	7.0	ノ	
佐	help	サ	7.0	一	one
佐	help	サ	7.0	⺅	
佐	help	サ	7.0	工	work
体	body	タイ、テイ、からだ	7.0	木	tree
体	body	タイ、テイ、からだ	7.0	一	one
体	body	タイ、テイ、からだ	7.0	⺅	
何	what	カ、なに、なん	7.0	⺅	
何	what	カ、なに、なん	7.0	口	mouth
何	what	カ、なに、なん	7.0	亅	hook
余	leave over	ヨ、あまる、あます	7.0	一	one
余	leave over	ヨ、あまる、あます	7.0	二	two
余	leave over	ヨ、あまる、あます	7.0	ハ	
余	leave over	ヨ、あまる、あます	7.0	𠆢	
余	leave over	ヨ、あまる、あます	7.0	亅	hook
余	leave over	ヨ、あまる、あます	7.0	示	spirit
余	leave over	ヨ、あまる、あます	7.0	二	two
余	leave over	ヨ、あまる、あます	7.0	小	small
作	make	サク、サ、つくる	7.0	｜	
作	make	サク、サ、つくる	7.0	ノ	
作	make	サク、サ、つくる	7.0	⺅	
佳	excellent	カ	8.0	⺅	
佳	excellent	カ	8.0	土	earth
併	join	ヘイ、あわせる	8.0	｜	
併	join	ヘイ、あわせる	8.0	ノ	
併	join	ヘイ、あわせる	8.0	一	one
併	join	ヘイ、あわせる	8.0	⺅	
併	join	ヘイ、あわせる	8.0	二	two
併	join	ヘイ、あわせる	8.0	并	
併	join	ヘイ、あわせる	8.0	廾	arch
使	use	シ、つかう	8.0	ノ	
使	use	シ、つかう	8.0	一	one
使	use	シ、つかう	8.0	⺅	
使	use	シ、つかう	8.0	口	mouth
例	example	レイ、たとえる	8.0	⺅	
例	example	レイ、たとえる	8.0	刂	knife
例	example	レイ、たとえる	8.0	歹	death
侍	waiter	ジ、さむらい	8.0	⺅	
侍	waiter	ジ、さむらい	8.0	寸	inch
侍	waiter	ジ、さむらい	8.0	土	earth
供	offer	キョウ、ク、そなえる、とも	8.0	｜	
供	offer	キョウ、ク、そなえる、とも	8.0	一	one
供	offer	キョウ、ク、そなえる、とも	8.0	⺅	
供	offer	キョウ、ク、そなえる、とも	8.0	二	two
供	offer	キョウ、ク、そなえる、とも	8.0	ハ	
依	reliant	イ、エ	8.0	衣	clothes
依	reliant	イ、エ	8.0	⺅	
依	reliant	イ、エ	8.0	亠	lid
価	value	カ、あたい	8.0	⺅	
価	value	カ、あたい	8.0	西	cover
侮	scorn	ブ、あなどる	8.0	⺅	
侮	scorn	ブ、あなどる	8.0	母	do not
侮	scorn	ブ、あなどる	8.0	毋	do not
侯	marquis	コウ	9.0	⺅	
侯	marquis	コウ	9.0	矢	arrow
侵	encroach	シン、おかす	9.0	ヨ	
侵	encroach	シン、おかす	9.0	⺅	
侵	encroach	シン、おかす	9.0	又	again
侵	encroach	シン、おかす	9.0	冖	cloth cover
侶	companion	リョ	9.0	｜	
侶	companion	リョ	9.0	一	one
侶	companion	リョ	9.0	⺅	
侶	companion	リョ	9.0	口	mouth
便	convenience	ベン、ビン、たより	9.0	｜	
便	convenience	ベン、ビン、たより	9.0	ノ	
便	convenience	ベン、ビン、たより	9.0	一	one
便	convenience	ベン、ビン、たより	9.0	⺅	
便	convenience	ベン、ビン、たより	9.0	日	sun
便	convenience	ベン、ビン、たより	9.0	田	field
係	person in charge	ケイ、かかる、かかり	9.0	ノ	
係	person in charge	ケイ、かかる、かかり	9.0	⺅	
係	person in charge	ケイ、かかる、かかり	9.0	糸	silk
係	person in charge	ケイ、かかる、かかり	9.0	幺	short thread
係	person in charge	ケイ、かかる、かかり	9.0	小	small
促	stimulate	ソク、うながす	9.0	⺅	
促	stimulate	ソク、うながす	9.0	口	mouth
促	stimulate	ソク、うながす	9.0	足	foot
俊	genius	シュン	9.0	⺅	
俊	genius	シュン	9.0	儿	son, legs
俊	genius	シュン	9.0	厶	private
俊	genius	シュン	9.0	夂	go
俗	vulgar	ゾク	9.0	⺅	
俗	vulgar	ゾク	9.0	口	mouth
俗	vulgar	ゾク	9.0	谷	valley
俗	vulgar	ゾク	9.0	ハ	
俗	vulgar	ゾク	9.0	𠆢	
保	preserve	ホ、たもつ	9.0	⺅	
保	preserve	ホ、たもつ	9.0	口	mouth
保	preserve	ホ、たもつ	9.0	木	tree
信	trust	シン	9.0	⺅	
信	trust	シン	9.0	言	speech
修	discipline	シュウ、シュ、おさめる、おさまる	10.0	｜	
修	discipline	シュウ、シュ、おさめる、おさまる	10.0	⺅	
修	discipline	シュウ、シュ、おさめる、おさまる	10.0	彡	bristle
修	discipline	シュウ、シュ、おさめる、おさまる	10.0	攵	rap, tap
俳	haiku	ハイ	10.0	⺅	
俳	haiku	ハイ	10.0	非	wrong
俵	bag	ヒョウ、たわら	10.0	衣	clothes
俵	bag	ヒョウ、たわら	10.0	⺅	
俵	bag	ヒョウ、たわら	10.0	士	scholar
俸	salary	ホウ	10.0	｜	
俸	salary	ホウ	10.0	一	one
俸	salary	ホウ	10.0	⺅	
俸	salary	ホウ	10.0	人	man
俸	salary	ホウ	10.0	大	big
俸	salary	ホウ	10.0	二	two
俺	I, we, myself	おれ	10.0	乙	second
俺	I, we, myself	おれ	10.0	⺅	
俺	I, we, myself	おれ	10.0	大	big
俺	I, we, myself	おれ	10.0	奄	
倉	warehouse	ソウ、くら	10.0	ノ	
倉	warehouse	ソウ、くら	10.0	口	mouth
倉	warehouse	ソウ、くら	10.0	𠆢	
個	individual	コ	10.0	⺅	
個	individual	コ	10.0	口	mouth
個	individual	コ	10.0	十	ten
個	individual	コ	10.0	囗	enclosure
倍	double	バイ	10.0	⺅	
倍	double	バイ	10.0	口	mouth
倍	double	バイ	10.0	立	stand
倒	overthrow	トウ、たおれる、たおす	10.0	⺅	
倒	overthrow	トウ、たおれる、たおす	10.0	刂	knife
倒	overthrow	トウ、たおれる、たおす	10.0	至	arrive
倒	overthrow	トウ、たおれる、たおす	10.0	土	earth
倒	overthrow	トウ、たおれる、たおす	10.0	厶	private
候	climate	コウ、そうろう	10.0	｜	
候	climate	コウ、そうろう	10.0	⺅	
候	climate	コウ、そうろう	10.0	矢	arrow
借	borrow	シャク、かりる	10.0	⺅	
借	borrow	シャク、かりる	10.0	日	sun
倣	emulate	ホウ、ならう	10.0	⺅	
倣	emulate	ホウ、ならう	10.0	方	square
倣	emulate	ホウ、ならう	10.0	攵	rap, tap
値	value	チ、ね、あたい	10.0	⺅	
値	value	チ、ね、あたい	10.0	十	ten
値	value	チ、ね、あたい	10.0	目	eye
値	value	チ、ね、あたい	10.0	｜	
値	value	チ、ね、あたい	10.0	一	one
倫	ethics	リン	10.0	｜	
倫	ethics	リン	10.0	一	one
倫	ethics	リン	10.0	⺅	
倫	ethics	リン	10.0	𠆢	
倫	ethics	リン	10.0	亅	hook
倫	ethics	リン	10.0	冊	counter for books
倹	frugal	ケン	10.0	⺅	
倹	frugal	ケン	10.0	口	mouth
倹	frugal	ケン	10.0	人	man
倹	frugal	ケン	10.0	𠆢	
偉	admirable	イ、えらい	12.0	⺅	
偉	admirable	イ、えらい	12.0	口	mouth
偉	admirable	イ、えらい	12.0	韋	tanned leather
偏	partial	ヘン、かたよる	11.0	｜	
偏	partial	ヘン、かたよる	11.0	一	one
偏	partial	ヘン、かたよる	11.0	⺅	
偏	partial	ヘン、かたよる	11.0	戸	door
偏	partial	ヘン、かたよる	11.0	冂	wide
偏	partial	ヘン、かたよる	11.0	冊	counter for books
偏	partial	ヘン、かたよる	11.0	尸	corpse
停	halt	テイ	11.0	⺅	
停	halt	テイ	11.0	口	mouth
停	halt	テイ	11.0	亅	hook
停	halt	テイ	11.0	亠	lid
停	halt	テイ	11.0	冖	cloth cover
健	healthy	ケン、すこやか	11.0	⺅	
健	healthy	ケン、すこやか	11.0	廴	long stride
健	healthy	ケン、すこやか	11.0	聿	brush
側	side	ソク、がわ	11.0	⺅	
側	side	ソク、がわ	11.0	貝	shell
側	side	ソク、がわ	11.0	目	eye
側	side	ソク、がわ	11.0	ハ	
側	side	ソク、がわ	11.0	刂	knife
偵	spy	テイ	11.0	⺅	
偵	spy	テイ	11.0	貝	shell
偵	spy	テイ	11.0	目	eye
偵	spy	テイ	11.0	ハ	
偵	spy	テイ	11.0	卜	divination
偶	accidentally	グウ	11.0	⺅	
偶	accidentally	グウ	11.0	田	field
偶	accidentally	グウ	11.0	冂	wide
偶	accidentally	グウ	11.0	厶	private
偶	accidentally	グウ	11.0	禸	track
偽	falsehood	ギ、いつわる、にせ	11.0	⺅	
偽	falsehood	ギ、いつわる、にせ	11.0	丶	dot
偽	falsehood	ギ、いつわる、にせ	11.0	灬	fire
傍	bystander	ボウ、かたわら	12.0	⺅	
傍	bystander	ボウ、かたわら	12.0	并	
傍	bystander	ボウ、かたわら	12.0	方	square
傍	bystander	ボウ、かたわら	12.0	立	stand
傍	bystander	ボウ、かたわら	12.0	亠	lid
傍	bystander	ボウ、かたわら	12.0	冖	cloth cover
傑	greatness	ケツ	13.0	⺅	
傑	greatness	ケツ	13.0	舛	oppose
傑	greatness	ケツ	13.0	木	tree
傑	greatness	ケツ	13.0	夕	evening
傘	umbrella	サン、かさ	12.0	十	ten
傘	umbrella	サン、かさ	12.0	人	man
傘	umbrella	サン、かさ	12.0	𠆢	
備	provide	ビ、そなえる、そなわる	12.0	⺅	
備	provide	ビ、そなえる、そなわる	12.0	用	use
備	provide	ビ、そなえる、そなわる	12.0	厂	cliff
備	provide	ビ、そなえる、そなわる	12.0	⺾	
催	sponsor	サイ、もよおす	13.0	⺅	
催	sponsor	サイ、もよおす	13.0	山	mountain
催	sponsor	サイ、もよおす	13.0	隹	short-tailed bird
傲	be proud	ゴウ	13.0	⺅	
傲	be proud	ゴウ	13.0	土	earth
傲	be proud	ゴウ	13.0	方	square
傲	be proud	ゴウ	13.0	攵	rap, tap
債	bond	サイ	13.0	⺅	
債	bond	サイ	13.0	貝	shell
債	bond	サイ	13.0	目	eye
債	bond	サイ	13.0	ハ	
債	bond	サイ	13.0	土	earth
債	bond	サイ	13.0	亠	lid
傷	wound	ショウ、きず、いたむ、いためる	13.0	ノ	
傷	wound	ショウ、きず、いたむ、いためる	13.0	⺅	
傷	wound	ショウ、きず、いたむ、いためる	13.0	日	sun
傷	wound	ショウ、きず、いたむ、いためる	13.0	勿	
傾	lean	ケイ、かたむく、かたむける	13.0	⺅	
傾	lean	ケイ、かたむく、かたむける	13.0	貝	shell
傾	lean	ケイ、かたむく、かたむける	13.0	目	eye
傾	lean	ケイ、かたむく、かたむける	13.0	ハ	
傾	lean	ケイ、かたむく、かたむける	13.0	頁	leaf
傾	lean	ケイ、かたむく、かたむける	13.0	匕	spoon
働	work	ドウ、はたらく	13.0	｜	
働	work	ドウ、はたらく	13.0	一	one
働	work	ドウ、はたらく	13.0	⺅	
働	work	ドウ、はたらく	13.0	力	power
働	work	ドウ、はたらく	13.0	日	sun
像	statue	ゾウ	14.0	⺅	
像	statue	ゾウ	14.0	勹	wrap
像	statue	ゾウ	14.0	豕	pig
像	statue	ゾウ	14.0	口	mouth
像	statue	ゾウ	14.0	一	one
僕	me	ボク	14.0	王	jade
僕	me	ボク	14.0	⺅	
僕	me	ボク	14.0	并	
僕	me	ボク	14.0	羊	sheep
僚	colleague	リョウ	14.0	⺅	
僚	colleague	リョウ	14.0	小	small
僚	colleague	リョウ	14.0	日	sun
僧	Buddhist priest	ソウ	13.0	⺅	
僧	Buddhist priest	ソウ	13.0	田	field
僧	Buddhist priest	ソウ	13.0	日	sun
僧	Buddhist priest	ソウ	13.0	并	
儀	ceremony	ギ	15.0	一	one
儀	ceremony	ギ	15.0	王	jade
儀	ceremony	ギ	15.0	⺅	
儀	ceremony	ギ	15.0	并	
儀	ceremony	ギ	15.0	羊	sheep
儀	ceremony	ギ	15.0	亅	hook
儀	ceremony	ギ	15.0	戈	halberd
儀	ceremony	ギ	15.0	手	hand
億	hundred million	オク	15.0	音	sound
億	hundred million	オク	15.0	⺅	
億	hundred million	オク	15.0	心	heart
億	hundred million	オク	15.0	日	sun
億	hundred million	オク	15.0	立	stand
儒	Confucian	ジュ	16.0	雨	rain
儒	Confucian	ジュ	16.0	⺅	
儒	Confucian	ジュ	16.0	而	and
償	reparation	ショウ、つぐなう	17.0	⺅	
償	reparation	ショウ、つぐなう	17.0	貝	shell
償	reparation	ショウ、つぐなう	17.0	目	eye
償	reparation	ショウ、つぐなう	17.0	ハ	
償	reparation	ショウ、つぐなう	17.0	口	mouth
償	reparation	ショウ、つぐなう	17.0	⺌	small
償	reparation	ショウ、つぐなう	17.0	冖	cloth cover
優	superior	ユウ、やさしい、すぐれる	17.0	一	one
優	superior	ユウ、やさしい、すぐれる	17.0	⺅	
優	superior	ユウ、やさしい、すぐれる	17.0	心	heart
優	superior	ユウ、やさしい、すぐれる	17.0	白	white
優	superior	ユウ、やさしい、すぐれる	17.0	冖	cloth cover
優	superior	ユウ、やさしい、すぐれる	17.0	夂	go
優	superior	ユウ、やさしい、すぐれる	17.0	自	self
元	origin	ゲン、ガン、もと	4.0	二	two
元	origin	ゲン、ガン、もと	4.0	儿	son, legs
元	origin	ゲン、ガン、もと	4.0	元	origin
兄	older brother	ケイ、キョウ、あに	5.0	口	mouth
兄	older brother	ケイ、キョウ、あに	5.0	儿	son, legs
充	allot	ジュウ、あてる	6.0	亠	lid
充	allot	ジュウ、あてる	6.0	儿	son, legs
充	allot	ジュウ、あてる	6.0	厶	private
兆	portent, trillion	チョウ、きざす、きざし	6.0	儿	son, legs
兆	portent, trillion	チョウ、きざす、きざし	6.0	冫	ice
先	previous	セン、さき	6.0	ノ	
先	previous	セン、さき	6.0	土	earth
先	previous	セン、さき	6.0	儿	son, legs
光	ray	コウ、ひかる、ひかり	6.0	一	one
光	ray	コウ、ひかる、ひかり	6.0	⺌	small
光	ray	コウ、ひかる、ひかり	6.0	儿	son, legs
克	overcome	コク	7.0	口	mouth
克	overcome	コク	7.0	十	ten
克	overcome	コク	7.0	儿	son, legs
免	excuse	メン、まぬかれる	8.0	｜	
免	excuse	メン、まぬかれる	8.0	一	one
免	excuse	メン、まぬかれる	8.0	勹	wrap
免	excuse	メン、まぬかれる	8.0	口	mouth
免	excuse	メン、まぬかれる	8.0	儿	son, legs
免	excuse	メン、まぬかれる	8.0	免	excuse
児	child	ジ、ニ	7.0	｜	
児	child	ジ、ニ	7.0	日	sun
児	child	ジ、ニ	7.0	儿	son, legs
党	group	トウ	10.0	口	mouth
党	group	トウ	10.0	⺌	small
党	group	トウ	10.0	儿	son, legs
党	group	トウ	10.0	冖	cloth cover
入	enter	ニュウ、いる、いれる、はいる	2.0	入	enter
全	whole	ゼン、まったく、すべて	6.0	王	jade
全	whole	ゼン、まったく、すべて	6.0	ハ	
全	whole	ゼン、まったく、すべて	6.0	𠆢	
八	eight	ハチ、や、やつ、やっつ、よう	2.0	ハ	
公	public	コウ、おおやけ	4.0	ハ	
公	public	コウ、おおやけ	4.0	厶	private
六	six	ロク、む、むつ、むっつ、むい	4.0	ハ	
六	six	ロク、む、むつ、むっつ、むい	4.0	亠	lid
共	together	キョウ、とも	6.0	ハ	
共	together	キョウ、とも	6.0	｜	
共	together	キョウ、とも	6.0	一	one
共	together	キョウ、とも	6.0	二	two
兵	soldier	ヘイ、ヒョウ	7.0	一	one
兵	soldier	ヘイ、ヒョウ	7.0	斤	axe
兵	soldier	ヘイ、ヒョウ	7.0	ハ	
具	tool	グ	8.0	一	one
具	tool	グ	8.0	ハ	
具	tool	グ	8.0	目	eye
典	code	テン	8.0	｜	
典	code	テン	8.0	一	one
典	code	テン	8.0	日	sun
典	code	テン	8.0	ハ	
兼	concurrently	ケン、かねる	10.0	｜	
兼	concurrently	ケン、かねる	10.0	ヨ	
兼	concurrently	ケン、かねる	10.0	一	one
兼	concurrently	ケン、かねる	10.0	ハ	
兼	concurrently	ケン、かねる	10.0	并	
内	inside	ナイ、ダイ、うち	4.0	人	man
内	inside	ナイ、ダイ、うち	4.0	冂	wide
円	round, yen	エン、まるい	4.0	冂	wide
円	round, yen	エン、まるい	4.0	亠	lid
円	round, yen	エン、まるい	4.0	一	one
円	round, yen	エン、まるい	4.0	｜	
冊	counter for books	サツ、サク	5.0	｜	
冊	counter for books	サツ、サク	5.0	一	one
冊	counter for books	サツ、サク	5.0	亅	hook
冊	counter for books	サツ、サク	5.0	冂	wide
冊	counter for books	サツ、サク	5.0	廾	arch
冊	counter for books	サツ、サク	5.0	冊	counter for books
再	again	サイ、サ、ふたたび	6.0	｜	
再	again	サイ、サ、ふたたび	6.0	一	one
